"mz","rt","t.score","p.value"
89.31832,532.14,-0.3882,0.7011
89.32355,586.62,2.4625,0.0259
89.33881,699.48,-1.5992,0.1231
89.3934,684.42,-1.0528,0.3071
89.3934,670.26,-8.8786,0
89.39511,721.62,-3.3964,0.0022
89.42587,37.92,-1.4994,0.1432
89.44617,588.36,-6.874,0
89.4508,721.62,-4.2766,2e-04
89.50187,588.36,-7.1746,0
89.50488,670.26,-9.0504,0
89.50494,684.42,-1.2728,0.2196
89.50708,730.62,-3.6131,0.0014
89.54506,34.08,1.2458,0.2263
89.61741,695.76,-1.9314,0.0659
89.61742,700.62,-2.2344,0.0356
89.61765,665.4,-9.9758,0
89.61767,677.52,-2.6996,0.013
89.61861,730.74,-2.5356,0.0184
89.72914,677.52,-2.6849,0.0136
89.72915,665.4,-10.2008,0
89.84137,730.74,-3.871,7e-04
89.84161,698.28,-3.4286,0.0018
89.84161,687.48,-3.3097,0.0027
89.94005,211.68,-2.9245,0.0095
89.94005,156.78,-1.9584,0.0629
89.94006,774.72,-0.5464,0.5909
89.94006,191.46,-2.2084,0.0394
89.96112,697.8,0.9661,0.3418
89.96113,766.62,1.5481,0.1298
89.96114,610.5,1.0554,0.299
89.96116,686.34,1.5386,0.1348
90.05516,42.78,-2.586,0.0154
90.06557,705.12,-0.8892,0.3847
90.06559,723.3,-7.1521,0
90.17704,723.3,-7.1308,0
90.1771,705,-0.744,0.4656
90.18423,585.72,2.3749,0.0268
90.18423,580.62,1.4916,0.147
90.18425,591.18,1.2808,0.211
90.28853,723.3,-7.4784,0
90.28957,745.74,-5.6482,0
90.29572,585.66,2.4685,0.0217
90.29572,579.36,1.6137,0.1186
90.39439,730.98,-2.1825,0.0376
90.40103,745.8,-5.647,0
90.4072,585.48,2.0519,0.0538
90.40822,650.16,1.1174,0.2721
90.40823,654.72,0.8326,0.4107
90.45014,730.92,-1.813,0.082
90.5125,745.74,-6.0881,0
90.51349,596.16,1.1722,0.252
90.51969,650.16,1.0881,0.2846
90.51969,654.72,0.9601,0.3433
90.52599,33.9,-0.0588,0.9535
90.62498,596.16,1.1903,0.246
90.63119,650.4,0.8697,0.3907
90.6312,655.14,1.0665,0.2931
90.6322,738.06,0.6255,0.535
90.7302,38.04,-0.2325,0.8177
90.7307,711.54,-2.7432,0.0105
90.74365,738,0.0704,0.9442
90.80281,392.4,-0.13,0.8979
90.84536,162.3,-0.3708,0.7142
90.94775,766.38,1.3395,0.1939
90.94781,763.68,-0.0041,0.9968
90.94786,250.26,-2.8697,0.0106
90.94786,237.06,-2.4109,0.0273
90.97682,38.4,-0.2848,0.7776
91.03914,771.9,-1.3628,0.1814
91.05415,163.2,5.0821,0
91.05424,199.8,-3.9462,3e-04
91.29327,614.4,-0.3899,0.6996
91.30985,600.72,0.145,0.886
91.54242,34.86,1.1514,0.2571
91.78135,677.58,-1.2059,0.2369
91.95657,697.2,1.5177,0.1388
91.95657,680.7,1.4051,0.1681
91.95659,758.28,1.3118,0.1964
92.06007,677.64,-3.0593,0.0065
92.17139,677.7,-2.5549,0.0189
92.17373,723.84,-10.7276,0
92.22941,723.9,-9.583,0
92.28433,659.58,-6.3423,0
92.33647,686.82,-1.8515,0.0745
92.39572,659.58,-4.7056,0
92.39762,745.74,-4.655,0
92.45329,745.62,-4.2894,1e-04
92.50801,724.02,-7.1032,0
92.50826,681.18,-0.7972,0.4334
92.56106,652.2,-0.6972,0.494
92.61945,723.9,-9.9533,0
92.61976,681.12,-0.264,0.794
92.62663,579.18,1.6824,0.1075
92.62665,585.84,2.5319,0.0183
92.62669,595.62,1.3356,0.1942
92.6881,652.02,-0.074,0.9419
92.73194,747,-4.3516,2e-04
92.73217,695.34,-0.6298,0.5366
92.73221,713.7,-4.7692,0
92.73816,585.84,1.8516,0.0769
92.81468,676.2,-0.8836,0.389
92.85062,655.98,1.3103,0.2018
92.85062,649.2,1.6105,0.122
92.90046,773.76,-1.6091,0.1229
92.94823,767.28,1.1042,0.2779
92.9498,756.42,2.9404,0.0047
92.96558,568.86,-3.6204,0.0012
92.96601,490.02,-1.3669,0.1817
92.96605,199.14,-0.4936,0.6271
93.01185,45.6,-1.7334,0.0962
93.0128,769.68,-0.4808,0.6333
93.03357,516.84,0.4798,0.636
93.06998,163.08,4.7918,0
93.07003,452.7,-3.4806,0.0015
93.07003,457.56,-4.6865,1e-04
93.07005,324.84,-2.7116,0.0121
93.07008,594.54,-1.7585,0.0896
93.20311,37.92,-1.1424,0.2617
93.31448,38.16,-1.5198,0.1394
94.04794,474.42,-1.5615,0.1295
94.06528,150.66,4.9662,1e-04
94.0653,303.18,3.477,0.0033
94.06533,196.5,1.1768,0.2546
94.15943,474.48,-1.1469,0.2621
94.31512,575.16,2.3688,0.0313
94.59854,474.42,-1.7092,0.1013
94.70998,474.42,-1.9437,0.0647
94.81904,586.26,3.0732,0.0072
94.95541,771.72,-0.8316,0.4151
95.00845,759.6,-0.6,0.5514
95.00847,768.36,-0.5022,0.6193
95.01627,49.02,-8.0433,0
95.01628,56.64,-7.3656,0
95.03109,33.96,-0.228,0.8212
95.04926,80.76,-0.2081,0.8366
95.08547,575.34,2.4177,0.0282
95.08562,433.74,0.9132,0.3663
95.08566,355.74,1.2323,0.2365
95.08568,405.24,-0.3782,0.7072
95.0858,490.68,0.691,0.4994
