"mz","rt","t.score","p.value"
975.817,459,1.6941,0.1013
914.81385,454.2,1.6317,0.1128
550.91715,462.6,0.6824,0.5015
336.0153,450.3,-0.7607,0.4565
737.8563,449.4,0.8745,0.3896
669.8716,448.2,1.7079,0.0982
1043.8049,466.8,2.3212,0.0266
158.9841,450,1.2867,0.2084
872.8299,455.7,1.186,0.2448
618.89885,466.5,0.8052,0.4284
908.8305,446.7,0.4764,0.6384
226.9272,453.9,-0.0559,0.9559
669.3703,453.9,1.7915,0.0854
482.92825,455.4,0.8254,0.4171
771.34785,447.9,2.1626,0.0393
1042.80145,452.4,1.4734,0.1509
449.0117,458.7,0.1671,0.8694
168.0715,450,0.7226,0.4768
737.3632,450.9,0.4222,0.6764
974.81255,411,1.4127,0.1678
804.84455,446.4,1.3365,0.1915
414.94035,456.3,0.6695,0.5097
100.75805,447.6,2.2465,0.0327
703.3648,441,1.5853,0.1241
278.96535,458.4,-0.3838,0.7051
772.8516,462.3,0.9912,0.3302
840.84145,449.7,0.4006,0.6923
907.82925,446.7,1.2211,0.2319
668.87515,454.5,1.3669,0.1818
93.2031,449.7,1.155,0.2576
906.82195,460.2,1.3839,0.1768
90.99325,447.6,-0.1985,0.8446
227.0216,446.4,0.9239,0.3641
226.9767,441.9,-0.0982,0.9225
380.897,450.3,0.2033,0.8405
345.95395,387.3,1.2713,0.2165
167.06915,450,0.7775,0.4449
839.8423,438.6,0.852,0.4017
226.91545,450,0.0684,0.9461
327.0509,450,0.5573,0.5819
846.82415,450.9,0.8196,0.4193
642.8627,437.4,2.3434,0.0262
736.85325,438.6,1.2245,0.2306
209.978,450,0.4368,0.6662
778.839,456,1.0829,0.2885
704.86605,438,0.9607,0.3452
880.81945,459.6,1.19,0.2435
771.85355,445.5,0.9144,0.368
131.08865,450,1.2265,0.2325
90.96815,450,0.6874,0.5001
142.98995,450,1.5415,0.1365
85.64685,443.4,1.1775,0.2487
838.8328,453.6,1.1485,0.2594
226.9089,447.6,1.6296,0.109
210.9758,450,0.5759,0.5699
703.86685,459.3,0.8556,0.3995
225.07405,450,2.2813,0.0299
159.02065,450,1.0964,0.2868
948.80465,443.1,1.6149,0.1137
636.8797,450,0.9659,0.3429
259.06375,444.6,0.6061,0.5499
431.1521,461.1,1.2868,0.2087
710.85045,457.8,0.6809,0.5015
812.8314,455.1,0.2738,0.7867
346.95435,448.8,0.702,0.4895
78.09585,452.1,1.0097,0.3215
362.73835,379.5,2.0077,0.0539
770.8493,437.1,1.0579,0.2983
226.93345,444.6,0.843,0.4069
226.98515,450,-0.8052,0.4307
635.8769,458.4,-0.3466,0.7329
922.79805,459.3,0.0559,0.9557
702.86305,455.7,1.0494,0.3022
90.73265,450.6,0.3744,0.7111
90.98595,450,0.5335,0.5986
70.539,449.7,1.5296,0.1386
229.9576,450,-2.2534,0.0366
107.727,458.1,0.8242,0.4181
744.8436,459.9,0.5176,0.6095
583.86685,458.1,0.3646,0.7179
854.8125,441.9,1.5366,0.1317
500.9044,454.8,0.4652,0.6458
720.83765,462.3,0.1034,0.9184
430.94505,460.2,-0.9432,0.3558
568.89375,460.5,0.0049,0.9961
719.83965,458.1,-0.745,0.4628
430.88585,450,-0.068,0.9464
634.87595,447.9,1.2989,0.2051
226.6738,432.6,-0.244,0.8092
296.94515,450.9,-0.0312,0.9754
516.87395,449.4,0.7652,0.4504
786.82225,447,1.4734,0.1465
226.76625,411.9,1.8588,0.0728
652.85065,451.8,0.7792,0.4418
226.88055,442.5,-0.0194,0.9846
718.83995,459.3,1.0445,0.3009
567.8962,442.8,-0.2213,0.8273
566.88765,456,0.8326,0.4117
158.94445,450,1.2934,0.2051
584.8638,444,0.5818,0.5675
193.13175,451.2,1.5517,0.1324
432.91865,450,0.5413,0.5923
676.85215,458.7,1.2759,0.2131
498.9022,455.4,0.689,0.4961
431.9166,450.9,0.4945,0.6248
430.91415,448.8,0.6643,0.5116
218.9118,461.1,0.0728,0.9426
650.85105,449.4,0.9528,0.3447
227.0445,463.2,-1.3154,0.1991
447.89175,450.9,0.4882,0.628
364.9294,450,0.5499,0.5856
499.90605,450,0.8516,0.401
153.05365,450,2.1689,0.0389
515.8812,448.8,0.7471,0.4624
363.92995,458.4,0.5829,0.5643
448.88505,450,-1.2405,0.2292
582.86055,452.1,0.6459,0.5224
343.02605,459.6,0.7255,0.4748
170.09965,450,1.7732,0.0887
362.92815,453.3,0.6348,0.5303
514.8791,444.3,0.8156,0.4187
226.9718,454.2,0.0973,0.923
158.95675,450,-0.7984,0.4324
158.9095,450,-1.5934,0.1282
83.03775,451.8,-1.5886,0.1296
446.88735,445.8,0.9551,0.3445
423.0474,441.6,-0.5548,0.586
379.9015,448.8,0.6798,0.5003
294.93985,451.8,0.4139,0.6821
462.864,450,1.1259,0.2653
175.94265,450,-0.9963,0.3286
312.91155,451.8,0.3167,0.7534
91.00015,450.6,-0.7891,0.4368
226.9422,450,-0.0996,0.9214
245.92735,450,-0.1479,0.8836
394.87725,452.1,1.1346,0.2617
310.913,450,-0.4654,0.646
378.90095,450,0.835,0.4085
326.8859,450,1.1852,0.2414
472.9005,448.8,1.3389,0.19
232.9185,453.3,-0.5545,0.5843
169.0957,450,1.0293,0.3128
243.02915,450,-0.8495,0.4033
90.95555,450.3,1.224,0.2301
226.96395,450,0.6213,0.5402
216.9117,450,1.1478,0.2629
176.9374,455.1,0.7969,0.4305
158.965,450,0.4595,0.6491
158.9731,450,-0.5967,0.5563
228.956,451.5,-0.3415,0.7355
92.98255,451.5,-0.1937,0.8481
244.93195,453.6,0.8633,0.3935
608.86315,448.8,0.8735,0.3888
226.95305,450,0.2016,0.8416
91.9801,453.9,-0.308,0.7604
353.1298,437.4,-1.52,0.1464
227.95515,450,0.2266,0.8223
242.82405,398.7,0.2067,0.8376
174.9386,445.2,0.4961,0.6225
255.0633,450.9,1.4674,0.1489
260.89855,450,1.0834,0.2847
244.9222,450.6,0.6587,0.5139
223.99025,450,-0.2034,0.8403
90.97605,450,-0.47,0.6421
108.9504,450,2.1944,0.0337
275.0383,450,0.3424,0.7355
242.92625,450,0.4767,0.6364
243.9314,450.6,0.4593,0.6486
258.8995,450,1.0966,0.2783
203.2225,414.3,-1.0785,0.2956
106.95055,449.4,0.4063,0.6868
171.0642,450,-1.0224,0.3164
190.91485,450,1.1782,0.2445
130.00985,450,1.1881,0.2448
381.02395,467.1,0.288,0.7756
232.90835,450,-4.0293,9e-04
268.0281,452.1,-0.3299,0.7456
226.8604,450.9,0.8757,0.3895
178.06475,462.9,-0.38,0.7089
166.9167,413.4,-2.416,0.0272
322.8889,450,0.5055,0.6185
206.92815,450,0.6357,0.5307
295.9425,450,1.0975,0.2814
164.92305,452.7,-3.112,0.0058
556.85795,443.7,-1.0758,0.2984
488.8738,444.3,-1.8119,0.0839
156.0838,450,0.1513,0.8815
420.8884,446.7,-0.1372,0.8923
547.83685,450,0.6751,0.5047
698.7825,447,0.5361,0.595
368.8734,450.6,-0.2705,0.788
618.81635,448.5,1.3325,0.1941
240.9691,450,-1.5537,0.1323
604.7903,446.1,-0.3518,0.729
352.8955,449.4,0.002,0.9984
354.8949,447.3,0.1433,0.8874
306.97865,396,0.1998,0.8434
303.0071,450,0.6624,0.5161
330.90505,449.7,2.2636,0.0319
285.9902,449.1,3.058,0.006
317.0235,451.2,-0.5372,0.5969
546.83305,444.3,-1.475,0.1551
255.98065,450,2.0775,0.0448
217.0058,450,1.1491,0.2604
161.0877,445.5,1.3895,0.1789
284.91185,450,-1.4628,0.1577
478.84715,447.9,-0.0266,0.979
480.8389,450.9,-1.3001,0.2039
300.8856,449.7,0.6273,0.5366
271.952,450,4.5153,2e-04
286.9071,450,-0.0076,0.9941
177.06375,450,-0.1058,0.917
608.78415,453.3,-0.0401,0.9684
496.816,451.5,1.8071,0.078
410.85685,450,-0.9258,0.3635
412.85075,450,-1.1972,0.2432
155.08015,450,-0.0235,0.9815
128.0333,450,4.8079,0
250.86825,452.4,1.2078,0.2325
426.8294,450,-1.032,0.3074
428.8304,447,-1.35,0.1842
248.86895,450,1.0513,0.2979
192.079,450.6,0.3585,0.7229
191.0783,450,-0.7647,0.4534
263.0149,450,0.0955,0.925
538.8015,449.1,0.2648,0.7933
222.88155,462.9,-2.2785,0.0348
233.90055,453.3,0.068,0.9463
284.99285,450,1.0498,0.3046
536.80415,449.4,0.1284,0.8985
220.9222,412.5,-0.6819,0.5022
248.87995,450,-1.4654,0.1567
540.7976,451.8,2.2239,0.0348
218.92675,452.1,-0.1165,0.9083
232.89585,450.6,-0.2088,0.8357
219.9258,447.6,-0.1644,0.8707
216.92125,450,-0.8391,0.4103
234.89645,450.6,-0.36,0.7206
218.9198,442.8,-0.9241,0.3654
217.92795,450,-0.6562,0.5181
236.89235,451.2,-0.0941,0.9256
594.763,447.6,-0.6608,0.5162
344.86545,450,-1.2626,0.2218
848.6457,450.6,-0.512,0.6139
342.8712,450,-1.3492,0.1917
305.96195,451.2,4.121,3e-04
358.8452,450,-0.8301,0.4109
596.75915,449.7,-0.6496,0.5227
360.84025,450.6,-1.264,0.2118
598.7527,448.2,0.5156,0.6106
470.81605,450,-1.1386,0.2678
472.81295,451.8,-1.662,0.1119
468.81545,450,-0.7392,0.4683
355.0581,426.9,-0.3843,0.7051
656.7138,450,-0.3251,0.7485
654.72065,459.6,-0.8755,0.3921
200.95055,450,0.3881,0.7018
207.05165,453.9,0.2638,0.7949
200.0416,447.6,2.3086,0.0311
530.76505,450.3,-0.6591,0.517
528.7736,449.7,-1.3865,0.1799
148.9358,450,-1.2341,0.2303
402.82525,451.5,-1.1181,0.2769
404.8191,451.2,-1.7276,0.0977
526.77815,449.1,-1.2341,0.2275
382.0314,450.6,0.4121,0.6833
400.8285,449.4,-1.3297,0.1982
216.8916,450,-1.2044,0.2399
287.071,435.9,-1.3503,0.1957
588.72695,450,-1.1238,0.2749
772.63005,448.5,1.4349,0.1611
418.80195,438.6,-1.6566,0.1089
646.68535,453.3,-0.983,0.3367
274.8796,450,-1.5998,0.125
150.93285,450,0.101,0.9203
276.87645,450,-1.3722,0.1846
586.7299,451.2,-1.056,0.3032
416.8018,446.1,-0.6092,0.5466
220.0844,459.3,-0.2568,0.7996
584.72965,449.1,-0.7556,0.4581
219.0837,450,0.8126,0.4251
245.9479,450,0.6249,0.5371
644.6886,461.1,-0.4943,0.6257
278.87615,450,0.4699,0.6436
219.00825,450,-0.7294,0.471
89.0234,450,1.0584,0.3012
220.07995,424.5,0.6737,0.5085
462.78155,451.5,-1.4791,0.1515
290.8554,439.5,-0.7906,0.4346
542.7528,446.7,-0.1465,0.8846
227.13765,449.7,-2.0692,0.0559
254.8852,450,-2.7784,0.0116
460.78435,449.7,-1.4665,0.1567
193.0351,450,1.1292,0.2677
120.004,448.8,2.1906,0.0347
183.11075,450,3.4322,0.0011
458.78575,449.7,-0.897,0.3804
353.89945,451.2,1.491,0.153
201.07215,450,-1.4834,0.1573
704.64135,449.1,-0.859,0.3987
332.8416,449.4,-1.5362,0.139
236.05975,457.8,-1.1167,0.2781
235.05695,444.3,1.125,0.2717
292.8529,448.5,-0.7187,0.4779
334.8375,450.6,-1.37,0.1851
235.0185,450,-0.8192,0.4249
434.16465,459,-0.8086,0.4306
518.74215,450.9,-1.0682,0.2967
