	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Dataset_0	mean	maxint	pzq_neg_20180203_1_3	pzq_neg_20180203_1_4	pzq_neg_20180203_1_5	isotopes	adduct	pcgroup
860	773.580832811949	773.575258689323	773.581776442433	27.667200088501	27.55428314209	27.847749710083	5	3	1394812.06569398	179608.625	1870021.44317955	1504618.9591329	809795.794769485			13
55	280.235637003626	280.234416395584	280.236265080205	23.185733795166	23.151916503906	23.185766220093	3	3	791420.191934317	147055.125	855102.720705485	696721.27762668	822436.577470784	[4][M+1]+		14
123	367.157944501879	367.157456313235	367.158432690523	10.0764498786925	10.061283126831	10.091616630554	2	2	892430.322057926	367506	29571.0662628601	2512682.84269958	135037.057211342	[19][M]+		28
841	749.569880810957	749.569305338383	749.571214334727	27.00111579895	26.967283248901	27.080200195313	3	3	1221559.32501124	156091.75	1086510.56024843	965220.875526697	1612946.53925859	[155][M]+		24
427	537.416231890703	537.414769600636	537.417825335474	24.73228263855	24.73228263855	24.732299804688	3	3	1253455.18079057	200309.375	2033412.80938366	1394402.55258374	332550.180404313	[69][M]+		36
324	482.314240520002	482.31058054734	482.316856514412	18.01584148407	18.0156834004723	18.0945992228187	4	3	700720.40868074	130714.875	757747.553317237	629493.267424581	714920.405300401	[48][M+2]+		2
831	742.542050927583	742.538608043179	742.545493811987	29.004816055298	28.987882614136	29.02174949646	2	2	847012.946504126	136120	810026.349436849	670315.671193536	1060696.81888199			43
250	445.329866194011	445.329190808267	445.330541579755	24.365425109863	24.325883865356	24.40496635437	2	2	884670.341978666	248385.75	1787125.42373952	346436.601804256	520449.00039222	[39][M]+		35
647	618.238119925843	618.233680390609	618.240987381316	7.122891664505	7.009966850281	7.156716823578	4	3	460097.958420403	138118.375	362093.171674547	396660.466661531	621540.236925131	[116][M]2+		42
364	502.290845985387	502.288625911949	502.293066058824	15.8060919125873	15.7975170771277	15.814666748047	2	2	622584.120212984	266318.75	1585090.64907994	103361.137615017	179300.573943998	[58][M]+		32
874	792.52915557973	792.528581568857	792.538544422778	29.055532455444	29.021717071533	29.05556678772	3	3	908709.131636937	131124.25	883236.755168516	584357.558837565	1258533.08090473	[160][M]+		44
584	594.480060453063	594.474568477919	594.486550933731	26.933465957642	26.933450698853	26.933465957642	3	3	1112316.04890047	161802.5	1882754.77110481	1333194.39157248	120998.984024126	[104][M+1]+		24
115	355.156999175631	355.155619822541	355.158378528721	24.732291221619	24.73228263855	24.732299804688	2	2	398163.697819468	125829.375	677435.624063868	314412.515416476	202642.95397806	[17][M]+		36
512	568.350509777807	568.350046163488	568.350973392127	18.6022418314612	18.6016508687333	18.602832794189	2	2	489728.114747682	138391.875	775671.669421297	280922.401139358	412590.273682391	[88][M+2]+		3
978	887.559093700668	887.554693838866	887.563493562469	16.2210750579835	16.221067428589	16.221082687378	2	2	255301.764482656	114192.9375	358308.293890933	165683.255817742	241913.743739292	[174][M+1]+		34
477	557.321208389125	557.316707349129	557.322336921302	18.015850067139	18.0156834004723	18.049667358398	3	3	635811.003640612	85021.875	697700.107154889	567411.301307986	642321.602458961	[82][M]+		2
766	688.545021333517	688.544190778191	688.546421795378	27.0541248321535	26.967283248901	27.26078414917	4	3	661185.364304978	103279.3125	554473.469851983	549471.430594055	879611.192468895	[142][M+1]+		31
