id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F16234	115.0887	181.89	178.68	185.1	3005	2307119	1	0.99	197	8	174288	223678	208817	207426	0	0	239072	1100569	0	0	161369	24756	0	0	0
F16235	210.6344	655.88	653.2	658.82	6489	81056429	1	0.96	5536	15	5779770	5115247	5469267	5690242	5462702	5320803	6086645	4886124	4885375	5355868	6050414	6053295	4147733	4981311	5793633
F16237	210.8881	40.16	39.36	41.5	6491	5562826	1	0.94	1249	5	0	0	0	661843	0	0	1738028	1007970	1174652	989333	0	0	0	0	0
F16238	214.0947	36.68	35.08	39.36	6594	1817084	0.75	0.91	22	11	260010	60501	0	232319	332278	195197	0	0	240105	36950	0	86473	206487	102013	68928
F16239	214.0947	41.23	39.36	42.57	6594	1505094	0.78	0.97	28	10	186131	0	0	188515	117264	223897	72993	127287	0	322122	82417	55610	0	113023	0
F16240	214.0947	45.24	42.57	48.45	6594	2868895	0.77	0.92	24	15	295538	215804	205714	161104	90441	77377	59442	549051	310385	266207	77079	174286	49658	259029	115162
F16241	214.0947	55.94	54.6	57.54	6594	1249544	0.71	0.76	21	12	57511	0	83085	108842	106043	184594	126362	49434	0	87781	95517	49901	0	51162	119041
F16243	214.0947	116.91	113.7	119.05	6594	2955374	0.73	0.83	3	10	0	0	0	560567	394235	131487	229789	250805	0	422936	56565	280886	53355	524195	0
F16244	214.0947	121.99	119.05	123.06	6594	2543378	0.75	0.73	3	12	106773	0	0	367270	244665	141034	588733	224817	113103	263200	49505	125155	167097	173242	0
F16248	214.0947	150.34	147.93	152.74	6594	2616244	0.76	0.75	3	11	110517	180788	0	578156	30865	232499	378031	442192	0	144156	0	50407	301791	202144	0
F16251	214.0947	166.11	165.04	168.25	6594	1668109	0.76	0.95	3	11	187854	0	57868	298204	245362	231765	307040	38575	0	120328	53510	0	53291	143499	0
F16270	214.1017	457.72	455.85	460.66	6595	1968521	1	0.93	212	4	0	0	0	462395	0	0	539998	529210	0	0	478136	0	0	0	0
F16279	214.1067	766.93	764.52	768.8	6596	2747396	0.8	0.92	295	5	510386	0	0	0	0	0	53284	0	724448	0	858536	0	0	0	617750
F16282	214.1067	901.3	898.62	902.37	6596	1391199	0.74	0.78	4	14	149802	94449	53800	92610	94023	189570	51785	160384	100353	41061	88392	71492	114062	122011	0
F16283	214.1067	903.97	902.37	905.31	6596	1251137	0.77	0.92	4	11	0	45943	106288	104639	200188	87468	88043	110786	123738	0	43463	117103	0	0	241297
F16284	214.1067	908.25	905.31	909.59	6596	2297445	0.8	0.79	5	13	199078	209139	116394	119203	279846	98858	158286	136950	0	0	162148	304810	189444	158789	178761
F16285	214.1067	910.93	909.59	912	6596	960509	0.72	0.73	3	8	58935	142546	0	148007	235854	0	92982	0	0	0	0	54379	145358	128462	0
